,book_name,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,word_count
0,ADI PARVA,0.011190402545181388,0.022634881357430074,0.007600194423578278,0.017844254930552486,0.02433608766735893,0.022432356796724257,0.048134564682662424,0.01187530378684106,0.010542323950922776,0.029119349564756307,271572
1,SHALYA-PARVA,0.016835757425787943,0.020098430067911247,0.006882772905153373,0.02337026752082703,0.020171748554251096,0.02882332994235334,0.045897372448745796,0.012784911055511258,0.010182104790446601,0.026990367783857102,109113
2,VANA PARVA,0.011987880043507535,0.022970943181229605,0.008452892733205573,0.018962034495260786,0.023294659967887293,0.0242295540477547,0.050981509297146115,0.012472160356347439,0.01046770601336303,0.031211477702387736,386140
3,SANTI PARVA,0.010409540479886265,0.02326144632693726,0.007511099158775766,0.017593523092383687,0.02384962703995697,0.023591708224622126,0.049130388969881686,0.01376877578205231,0.010470874832313452,0.030667176213594525,635859
4,DRONA PARVA,0.020421909720961102,0.017126668669785808,0.0065607654996846735,0.024318086514935895,0.016301207484621657,0.030192068308563996,0.03875044987634591,0.012989457209743083,0.01249748234338525,0.020590303802734588,302861
5,MAUSALA-PARVA,0.013049013367281986,0.01994483343942287,0.009548058561425843,0.019838743899851474,0.01580734139613834,0.027477190748992148,0.03437301082113304,0.014852535539995756,0.0120942075111394,0.025355399957564185,9426
6,UDYOGA PARVA,0.015093793067125464,0.021093564838791795,0.007667594210022735,0.020953116633456517,0.02220837246864055,0.027343509976211586,0.04979327779777214,0.012697395563592314,0.010121048796973342,0.03002080389041529,227842
7,BHISHMA PARVA,0.017687219215394956,0.01615601138046219,0.005301112273414088,0.022215147334536063,0.014604589580711834,0.026743075453677174,0.03860867280160499,0.012002041610446577,0.010703294370916147,0.018874789648428616,197883
8,VIRATA PARVA,0.017533921394081626,0.019381726956380997,0.006757303552642227,0.021526260419195597,0.019584041434005016,0.027406867902133744,0.045331930619621805,0.012556985244530765,0.01217933155296593,0.025424186021418358,74142
9,SVARGAROHANIKA-PARVA,0.008337420304070623,0.025796959293771456,0.007062285434036292,0.01696910250122609,0.029033840117704757,0.018048062775870524,0.057282981853849925,0.011378126532614026,0.00980872976949485,0.03246689553702795,10195
10,ASRAMAVASIKA PARVA,0.008440225756798357,0.020805541303232426,0.0054643406875320676,0.015161621344279117,0.02077988712160082,0.021780400205233454,0.05379681888147768,0.01254489481785531,0.008414571575166752,0.02896357106208312,38980
11,ASWAMEDHA PARVA,0.008899706439745829,0.021924120248225633,0.006419308089628776,0.015235405596224593,0.022620861357809073,0.02035413028129761,0.046542306120173904,0.01163093158931292,0.010915610716807253,0.028380587863698858,107644
12,SAUPTIKA-PARVA,0.019165637327170578,0.02147667051838865,0.010678567159421445,0.02562059210264175,0.021118061919751366,0.03502410646690839,0.04414870303223493,0.020201617723233853,0.013467745148822569,0.027294098896282423,25097
13,KARNA-PARVA,0.021871749800806507,0.01800344255016331,0.00709797887028398,0.02539945138158175,0.01749861628946616,0.03162766934488149,0.03897502022346165,0.014153382031834466,0.012736219155419583,0.021810927359758658,164413
14,STRI-PARVA,0.016921461080639515,0.021550550433734002,0.013303769401330377,0.026024040144707668,0.020072353833586184,0.0396779087408099,0.045785194694052206,0.025401641576224376,0.014587466448827168,0.02979733146613763,25707
15,MAHAPRASTHANIKA PARVA,0.006301369863013699,0.019452054794520546,0.00410958904109589,0.013972602739726028,0.018904109589041096,0.01589041095890411,0.052876712328767124,0.012054794520547946,0.009863013698630137,0.029863013698630137,3650
16,SABHA PARVA,0.012254768466574438,0.02277752965653969,0.007200357294582848,0.016535767584231108,0.02460757508088147,0.02156839250117101,0.05735231642356837,0.01074062374048213,0.009978104813673054,0.03164453546257666,91801
17,ANUSASANA PARVA,0.008290199769003722,0.028269951947070483,0.0069555546049535864,0.0145042848383739,0.030203476351399524,0.018351371005689354,0.054652008384309364,0.013654446678359071,0.014746688340391553,0.031061869929132624,350655
