,POS,book_num,book_title,lemma,section_num,sentence_num,stop,word,word_num
3724,ADJ,1.0,ADI PARVA,submissive,1.0,117.0,0.0,submissive,18.0
3760,ADJ,1.0,ADI PARVA,virgin,1.0,118.0,0.0,virgin,8.0
4459,ADJ,1.0,ADI PARVA,bent,1.0,142.0,0.0,bent,8.0
4517,ADJ,1.0,ADI PARVA,forcible,1.0,144.0,0.0,forcible,14.0
4577,ADJ,1.0,ADI PARVA,celestial,1.0,146.0,0.0,celestial,9.0
5263,ADJ,1.0,ADI PARVA,free,1.0,163.0,0.0,free,32.0
5369,ADJ,1.0,ADI PARVA,noble,1.0,166.0,0.0,noble,17.0
5373,ADJ,1.0,ADI PARVA,single,1.0,166.0,0.0,single,21.0
5449,ADJ,1.0,ADI PARVA,virtuous,1.0,168.0,0.0,virtuous,13.0
6220,ADJ,1.0,ADI PARVA,unable,1.0,189.0,0.0,unable,8.0
6226,ADJ,1.0,ADI PARVA,jubilant,1.0,189.0,0.0,jubilant,14.0
6273,ADJ,1.0,ADI PARVA,celebrated,1.0,190.0,0.0,celebrated,24.0
12139,ADJ,1.0,ADI PARVA,great,2.0,128.0,0.0,great,62.0
12391,ADJ,1.0,ADI PARVA,celestial,2.0,133.0,0.0,celestial,45.0
12414,ADJ,1.0,ADI PARVA,holy,2.0,133.0,0.0,holy,68.0
13188,ADJ,1.0,ADI PARVA,immeasurable,2.0,143.0,0.0,immeasurable,310.0
13907,ADJ,1.0,ADI PARVA,many,2.0,152.0,1.0,many,51.0
13908,ADJ,1.0,ADI PARVA,celestial,2.0,152.0,0.0,celestial,52.0
13914,ADJ,1.0,ADI PARVA,terrible,2.0,152.0,0.0,terrible,58.0
13948,ADJ,1.0,ADI PARVA,celestial,2.0,152.0,0.0,celestial,92.0
14541,ADJ,1.0,ADI PARVA,single,2.0,163.0,0.0,single,116.0
14543,ADJ,1.0,ADI PARVA,handed,2.0,163.0,0.0,handed,118.0
14659,ADJ,1.0,ADI PARVA,same,2.0,168.0,1.0,same,24.0
14745,ADJ,1.0,ADI PARVA,unfighting,2.0,170.0,0.0,unfighting,21.0
15386,ADJ,1.0,ADI PARVA,final,2.0,196.0,0.0,final,15.0
15863,ADJ,1.0,ADI PARVA,great,2.0,209.0,0.0,great,4.0
16054,ADJ,1.0,ADI PARVA,mutual,2.0,215.0,0.0,mutual,82.0
16099,ADJ,1.0,ADI PARVA,great,2.0,217.0,0.0,great,5.0
17671,ADJ,1.0,ADI PARVA,great,2.0,287.0,0.0,great,5.0
18264,ADJ,1.0,ADI PARVA,despondent,2.0,310.0,0.0,despondent,7.0
18267,ADJ,1.0,ADI PARVA,pursuant,2.0,310.0,0.0,pursuant,10.0
71893,ADJ,1.0,ADI PARVA,heroic,61.0,47.0,0.0,heroic,11.0
71976,ADJ,1.0,ADI PARVA,capable,61.0,50.0,0.0,capable,25.0
