,POS,book_num,book_title,lemma,section_num,sentence_num,stop,word,word_num
3257,PROPN,1.0,ADI PARVA,Arjuna,1.0,100.0,0.0,Arjuna,13.0
3262,PROPN,1.0,ADI PARVA,Bhimasena,1.0,100.0,0.0,Bhimasena,18.0
3716,PROPN,1.0,ADI PARVA,Yudhishthira,1.0,117.0,0.0,Yudhishthira,10.0
3721,PROPN,1.0,ADI PARVA,Arjuna,1.0,117.0,0.0,Arjuna,15.0
3757,PROPN,1.0,ADI PARVA,Arjuna,1.0,118.0,0.0,Arjuna,5.0
3761,PROPN,1.0,ADI PARVA,Krishna,1.0,118.0,0.0,Krishna,9.0
3871,PROPN,1.0,ADI PARVA,Bhimasena,1.0,121.0,0.0,Bhimasena,17.0
3873,PROPN,1.0,ADI PARVA,Arjuna,1.0,121.0,0.0,Arjuna,19.0
3876,PROPN,1.0,ADI PARVA,Jarasandha,1.0,121.0,0.0,Jarasandha,22.0
4456,PROPN,1.0,ADI PARVA,Arjuna,1.0,142.0,0.0,Arjuna,5.0
4522,PROPN,1.0,ADI PARVA,Arjuna,1.0,144.0,0.0,Arjuna,19.0
4527,PROPN,1.0,ADI PARVA,Dwaraka,1.0,144.0,0.0,Dwaraka,24.0
4573,PROPN,1.0,ADI PARVA,Arjuna,1.0,146.0,0.0,Arjuna,5.0
4662,PROPN,1.0,ADI PARVA,Arjuna,1.0,149.0,0.0,Arjuna,5.0
5027,PROPN,1.0,ADI PARVA,Arjuna,1.0,158.0,0.0,Arjuna,5.0
5079,PROPN,1.0,ADI PARVA,Arjuna,1.0,159.0,0.0,Arjuna,9.0
5113,PROPN,1.0,ADI PARVA,Arjuna,1.0,160.0,0.0,Arjuna,6.0
5117,PROPN,1.0,ADI PARVA,Kalakeyas,1.0,160.0,0.0,Kalakeyas,10.0
5155,PROPN,1.0,ADI PARVA,Arjuna,1.0,161.0,0.0,Arjuna,5.0
5265,PROPN,1.0,ADI PARVA,Arjuna,1.0,163.0,0.0,Arjuna,34.0
5270,PROPN,1.0,ADI PARVA,Sanjaya,1.0,163.0,0.0,Sanjaya,39.0
5370,PROPN,1.0,ADI PARVA,Arjuna,1.0,166.0,0.0,Arjuna,18.0
5451,PROPN,1.0,ADI PARVA,Uttara,1.0,168.0,0.0,Uttara,15.0
5453,PROPN,1.0,ADI PARVA,Arjuna,1.0,168.0,0.0,Arjuna,17.0
5456,PROPN,1.0,ADI PARVA,Arjuna,1.0,168.0,0.0,Arjuna,20.0
5451,PROPN,1.0,ADI PARVA,Uttara,1.0,168.0,0.0,Uttara,15.0
5453,PROPN,1.0,ADI PARVA,Arjuna,1.0,168.0,0.0,Arjuna,17.0
5456,PROPN,1.0,ADI PARVA,Arjuna,1.0,168.0,0.0,Arjuna,20.0
5525,PROPN,1.0,ADI PARVA,Krishna,1.0,170.0,0.0,Krishna,8.0
5527,PROPN,1.0,ADI PARVA,Arjuna,1.0,170.0,0.0,Arjuna,10.0
5529,PROPN,1.0,ADI PARVA,Nara,1.0,170.0,0.0,Nara,12.0
5531,PROPN,1.0,ADI PARVA,Narayana,1.0,170.0,0.0,Narayana,14.0
