Book	Vasusena	Suta's son	Karna	Radheya	Vrisha
ADI PARVA	6	0	105	5	34
SABHA PARVA	0	0	26	0	11
VANA PARVA	2	18	139	4	25
VIRATA PARVA	0	10	52	2	0
UDYOGA PARVA	2	19	143	0	8
BHISHMA PARVA	0	6	37	0	8
DRONA PARVA	0	122	779	1	70
KARNA-PARVA	3	163	1023	0	58
SHALYA-PARVA	0	11	53	0	3
SAUPTIKA-PARVA	0	0	5	0	0
STRI-PARVA	0	0	24	0	4
SANTI PARVA	1	1	59	0	21
ANUSASANA PARVA	0	0	1	0	21
ASWAMEDHA PARVA	0	1	12	0	6
ASRAMAVASIKA PARVA	0	1	14	0	2
MAUSALA-PARVA	0	0	0	0	0
MAHAPRASTHANIKA PARVA	0	0	0	0	0
SVARGAROHANIKA-PARVA	0	0	12	0	0
