,POS,book_num,book_title,lemma,section_num,sentence_num,stop,word,word_num
2683,ADJ,1.0,ADI PARVA,fair,1.0,86.0,0.0,fair,87.0
6608,ADJ,1.0,ADI PARVA,same,1.0,199.0,1.0,same,23.0
6799,ADJ,1.0,ADI PARVA,brave,1.0,206.0,0.0,brave,7.0
6802,ADJ,1.0,ADI PARVA,invincible,1.0,206.0,0.0,invincible,10.0
14268,ADJ,1.0,ADI PARVA,gratified,2.0,157.0,0.0,gratified,29.0
15100,ADJ,1.0,ADI PARVA,evil,2.0,181.0,0.0,evil,19.0
15129,ADJ,1.0,ADI PARVA,same,2.0,181.0,1.0,same,48.0
15938,ADJ,1.0,ADI PARVA,wonderful,2.0,212.0,0.0,wonderful,6.0
15978,ADJ,1.0,ADI PARVA,other,2.0,215.0,1.0,other,6.0
15984,ADJ,1.0,ADI PARVA,harsh,2.0,215.0,0.0,harsh,12.0
16040,ADJ,1.0,ADI PARVA,single,2.0,215.0,0.0,single,68.0
16099,ADJ,1.0,ADI PARVA,great,2.0,217.0,0.0,great,5.0
16102,ADJ,1.0,ADI PARVA,single,2.0,217.0,0.0,single,8.0
70980,ADJ,1.0,ADI PARVA,crookedminded,61.0,11.0,0.0,crookedminded,3.0
70989,ADJ,1.0,ADI PARVA,former,61.0,11.0,1.0,former,12.0
142798,ADJ,1.0,ADI PARVA,natural,111.0,26.0,0.0,natural,20.0
142811,ADJ,1.0,ADI PARVA,heroic,111.0,27.0,0.0,heroic,3.0
142815,ADJ,1.0,ADI PARVA,first,111.0,27.0,1.0,first,7.0
143089,ADJ,1.0,ADI PARVA,natural,111.0,36.0,0.0,natural,31.0
143098,ADJ,1.0,ADI PARVA,natural,111.0,37.0,0.0,natural,7.0
143130,ADJ,1.0,ADI PARVA,gratified,111.0,38.0,0.0,gratified,13.0
173527,ADJ,1.0,ADI PARVA,hostile,138.0,3.0,0.0,hostile,22.0
173578,ADJ,1.0,ADI PARVA,large,138.0,4.0,0.0,large,11.0
173580,ADJ,1.0,ADI PARVA,eyed,138.0,4.0,0.0,eyed,13.0
173875,ADJ,1.0,ADI PARVA,mighty,138.0,17.0,0.0,mighty,9.0
174073,ADJ,1.0,ADI PARVA,thine,138.0,31.0,0.0,thine,16.0
174190,ADJ,1.0,ADI PARVA,other,138.0,38.0,1.0,other,3.0
174303,ADJ,1.0,ADI PARVA,visible,138.0,42.0,0.0,visible,15.0
174683,ADJ,1.0,ADI PARVA,mighty,138.0,56.0,0.0,mighty,32.0
