,POS,book_num,book_title,lemma,section_num,sentence_num,stop,word,word_num
2680,PROPN,1.0,ADI PARVA,Karna,1.0,86.0,0.0,Karna,84.0
5244,PROPN,1.0,ADI PARVA,Karna,1.0,163.0,0.0,Karna,13.0
6457,PROPN,1.0,ADI PARVA,Karna,1.0,195.0,0.0,Karna,5.0
6506,PROPN,1.0,ADI PARVA,Kritavarma,1.0,196.0,0.0,Kritavarma,7.0
6508,PROPN,1.0,ADI PARVA,Kripa,1.0,196.0,0.0,Kripa,9.0
6510,PROPN,1.0,ADI PARVA,Karna,1.0,196.0,0.0,Karna,11.0
6515,PROPN,1.0,ADI PARVA,Drona,1.0,196.0,0.0,Drona,16.0
6553,PROPN,1.0,ADI PARVA,Indra,1.0,198.0,0.0,Indra,10.0
6556,PROPN,1.0,ADI PARVA,Karna,1.0,198.0,0.0,Karna,13.0
6560,PROPN,1.0,ADI PARVA,Madhava,1.0,198.0,0.0,Madhava,17.0
6594,PROPN,1.0,ADI PARVA,Karna,1.0,199.0,0.0,Karna,9.0
6596,PROPN,1.0,ADI PARVA,Ghatotkacha,1.0,199.0,0.0,Ghatotkacha,11.0
6599,PROPN,1.0,ADI PARVA,Sakti,1.0,199.0,0.0,Sakti,14.0
6603,PROPN,1.0,ADI PARVA,Ghatotkacha,1.0,199.0,0.0,Ghatotkacha,18.0
6605,PROPN,1.0,ADI PARVA,Karna,1.0,199.0,0.0,Karna,20.0
6800,PROPN,1.0,ADI PARVA,Karna,1.0,206.0,0.0,Karna,8.0
10837,PROPN,1.0,ADI PARVA,Karna,2.0,86.0,0.0,Karna,15.0
11035,PROPN,1.0,ADI PARVA,Karna,2.0,99.0,0.0,Karna,7.0
11039,PROPN,1.0,ADI PARVA,Salya,2.0,99.0,0.0,Salya,11.0
12993,PROPN,1.0,ADI PARVA,Karna,2.0,143.0,0.0,Karna,115.0
12998,PROPN,1.0,ADI PARVA,Vyasa,2.0,143.0,0.0,Vyasa,120.0
13393,PROPN,1.0,ADI PARVA,Karna,2.0,146.0,0.0,Karna,6.0
14247,PROPN,1.0,ADI PARVA,Savitri,2.0,157.0,0.0,Savitri,8.0
14250,PROPN,1.0,ADI PARVA,Karna,2.0,157.0,0.0,Karna,11.0
14254,PROPN,1.0,ADI PARVA,Indra,2.0,157.0,0.0,Indra,15.0
14265,PROPN,1.0,ADI PARVA,Karna,2.0,157.0,0.0,Karna,26.0
14269,PROPN,1.0,ADI PARVA,Indra,2.0,157.0,0.0,Indra,30.0
15103,PROPN,1.0,ADI PARVA,Duryodhana,2.0,181.0,0.0,Duryodhana,22.0
15105,PROPN,1.0,ADI PARVA,Karna,2.0,181.0,0.0,Karna,24.0
15108,PROPN,1.0,ADI PARVA,Krishna,2.0,181.0,0.0,Krishna,27.0
15108,PROPN,1.0,ADI PARVA,Krishna,2.0,181.0,0.0,Krishna,27.0
15111,PROPN,1.0,ADI PARVA,Karna,2.0,181.0,0.0,Karna,30.0
15124,PROPN,1.0,ADI PARVA,Karna,2.0,181.0,0.0,Karna,43.0
15939,PROPN,1.0,ADI PARVA,Parva,2.0,212.0,0.0,Parva,7.0
15941,PROPN,1.0,ADI PARVA,Karna,2.0,212.0,0.0,Karna,9.0
15954,PROPN,1.0,ADI PARVA,Madra,2.0,213.0,0.0,Madra,12.0
15957,PROPN,1.0,ADI PARVA,Karna,2.0,213.0,0.0,Karna,15.0
15980,PROPN,1.0,ADI PARVA,Karna,2.0,215.0,0.0,Karna,8.0
15982,PROPN,1.0,ADI PARVA,Salya,2.0,215.0,0.0,Salya,10.0
16043,PROPN,1.0,ADI PARVA,Karna,2.0,215.0,0.0,Karna,71.0
16096,PROPN,1.0,ADI PARVA,Arjuna,2.0,217.0,0.0,Arjuna,2.0
16100,PROPN,1.0,ADI PARVA,Karna,2.0,217.0,0.0,Karna,6.0
17192,PROPN,1.0,ADI PARVA,Kunti,2.0,261.0,0.0,Kunti,20.0
17196,PROPN,1.0,ADI PARVA,Karna,2.0,261.0,0.0,Karna,24.0
70981,PROPN,1.0,ADI PARVA,Duryodhana,61.0,11.0,0.0,Duryodhana,4.0
70984,PROPN,1.0,ADI PARVA,Karna,61.0,11.0,0.0,Karna,7.0
71259,PROPN,1.0,ADI PARVA,Vrisha,61.0,21.0,0.0,Vrisha,52.0
71261,PROPN,1.0,ADI PARVA,Karna,61.0,21.0,0.0,Karna,54.0
71264,PROPN,1.0,ADI PARVA,Duhsasana,61.0,21.0,0.0,Duhsasana,57.0
86049,PROPN,1.0,ADI PARVA,Dushkarna,67.0,92.0,0.0,Dushkarna,40.0
86052,PROPN,1.0,ADI PARVA,Karna,67.0,92.0,0.0,Karna,43.0
